Likes,Comments,Views
3407.0,672.0,135612.0
76779.0,4306.0,1758063.0
63825.0,3338.0,1564007.0
71566.0,1426.0,922918.0
96513.0,5155.0,1855644.0
33570.0,1643.0,943119.0
135047.0,9367.0,5937790.0
216935.0,12605.0,4782514.0
45565.0,2882.0,7001236.0
24252.0,1068.0,667767.0
118001.0,4123.0,2359142.0
20999.0,3091.0,413179.0
15322.0,547.0,389114.0
17866.0,157.0,444953.0
13217.0,442.0,371563.0
26890.0,4999.0,1633059.0
9562.0,199.0,760249.0
11743.0,143.0,1086568.0
146978.0,11105.0,3186890.0
363771.0,13609.0,11422924.0
2117.0,486.0,63650.0
42841.0,1357.0,1280387.0
23689.0,2842.0,530889.0
55231.0,2175.0,2122433.0
1289.0,183.0,35948.0
970.0,207.0,23175.0
1608.0,273.0,78520.0
1452.0,38.0,63599.0
35758.0,2056.0,1006704.0
8725.0,790.0,257848.0
110145.0,3289.0,2954979.0
12188.0,326.0,304037.0
59458.0,4159.0,1541386.0
3494.0,136.0,589007.0
36423.0,1902.0,1085076.0
941.0,221.0,25594.0
134194.0,6102.0,4098623.0
42075.0,1820.0,7188648.0
709.0,128.0,25745.0
78852.0,3926.0,1889567.0
32102.0,3243.0,786765.0
188623.0,7464.0,4195072.0
343227.0,20854.0,9618335.0
43960.0,1767.0,791624.0
77411.0,2098.0,2474364.0
24.0,45.0,3461.0
4492.0,169.0,274201.0
51846.0,2371.0,1156785.0
1029.0,2347.0,97434.0
534.0,538.0,57858.0
8526.0,3934.0,544884.0
588.0,887.0,69951.0
137.0,222.0,18531.0
848.0,1384.0,86855.0
827.0,1653.0,131012.0
1200.0,2841.0,54596.0
1167.0,180.0,235019.0
1573.0,2670.0,60528.0
1145.0,793.0,106127.0
474.0,1553.0,75301.0
82.0,26.0,17145.0
23828.0,47.0,500097.0
775.0,1517.0,127082.0
8484.0,2192.0,237313.0
7946.0,1559.0,905023.0
510.0,560.0,34715.0
129.0,7.0,10642.0
1288.0,3.0,172513.0
257.0,1.0,62189.0
612.0,18.0,60835.0
2385.0,1349.0,288722.0
6379.0,4853.0,808787.0
1009.0,451.0,127803.0
5630.0,1848.0,533947.0
686.0,18.0,56683.0
7277.0,1294.0,796750.0
695.0,121.0,159877.0
15854.0,5373.0,1465011.0
1030.0,10.0,187892.0
198.0,12.0,17763.0
7342.0,1531.0,932432.0
286.0,22.0,23135.0
2083.0,2195.0,164119.0
1728.0,665.0,212973.0
180.0,16.0,13976.0
1102.0,668.0,106690.0
1688.0,796.0,89985.0
8384.0,1307.0,176151.0
63825.0,3338.0,1564007.0
4163.0,618.0,133933.0
2925.0,121.0,99244.0
298406.0,15609.0,3773387.0
549.0,29.0,16307.0
2170.0,282.0,126228.0
1365.0,256.0,46436.0
3516.0,306.0,121644.0
2481.0,429.0,67444.0
2501.0,193.0,84565.0
82449.0,2673.0,2007038.0
1243.0,21.0,5967.0
48710.0,3417.0,552256.0
29966.0,471.0,205943.0
15842.0,1547.0,530763.0
3374.0,741.0,82874.0
8260.0,195.0,191777.0
1525.0,36.0,14877.0
468.0,164.0,10351.0
18208.0,44.0,228095.0
3171.0,5.0,19693.0
1204.0,135.0,27564.0
10556.0,466.0,66633.0
869.0,155.0,22860.0
13492.0,707.0,879645.0
358.0,23.0,2386.0
2677.0,485.0,65005.0
39872.0,187.0,246407.0
46642.0,1287.0,268946.0
674.0,93.0,5931.0
3495.0,202.0,226258.0
789.0,77.0,19223.0
3273.0,472.0,31837.0
4484.0,459.0,97946.0
2700.0,279.0,70186.0
238193.0,14706.0,7132206.0
71905.0,6315.0,2381931.0
9574.0,537.0,87891.0
1215.0,100.0,64958.0
11797.0,519.0,364725.0
2750.0,116.0,208701.0
563.0,85.0,14537.0
39944.0,1677.0,5093587.0
19987.0,2358.0,1335282.0
275577.0,5431.0,15040548.0
62969.0,9809.0,4288833.0
12785.0,489.0,1945140.0
778342.0,20737.0,57369066.0
56480.0,2515.0,12272628.0
23668.0,2290.0,1499121.0
102369.0,10191.0,16099483.0
60821.0,2638.0,12867358.0
355223.0,6889.0,11181957.0
7866.0,550.0,619006.0
84728.0,1451.0,10909239.0
6920.0,640.0,665643.0
22479.0,299.0,2020370.0
6568.0,591.0,592998.0
127971.0,3938.0,20647398.0
11805.0,1116.0,961317.0
601464.0,23466.0,27922929.0
241605.0,6650.0,31518906.0
39999.0,6387.0,5683239.0
33316.0,1335.0,7795119.0
14899.0,637.0,1836457.0
25347.0,385.0,9444655.0
11898.0,1330.0,901368.0
1096.0,178.0,106597.0
6325.0,391.0,573655.0
867074.0,43024.0,106014469.0
6946.0,481.0,647117.0
51562.0,8289.0,4282206.0
31796.0,555.0,6134948.0
46.0,6.0,2219.0
149084.0,3901.0,4820297.0
191.0,35.0,27378.0
38.0,1.0,4114.0
32772.0,4597.0,1194578.0
2584.0,57.0,1051751.0
15.0,1.0,867.0
132236.0,3715.0,15110047.0
3991.0,820.0,269716.0
2192.0,144.0,230945.0
54006.0,3508.0,2699810.0
14293.0,2114.0,577426.0
1121.0,91.0,65057.0
1941.0,401.0,83228.0
15872.0,156.0,4290144.0
2807.0,194.0,203084.0
22288.0,451.0,11666184.0
10119.0,664.0,891548.0
135155.0,11354.0,2361410.0
14408.0,864.0,275924.0
315980.0,6186.0,13176819.0
44809.0,660.0,1341953.0
22532.0,198.0,443909.0
295514.0,5266.0,8378324.0
1165120.0,40435.0,44943014.0
136929.0,3323.0,5249373.0
2048.0,193.0,58330.0
169217.0,2295.0,7370713.0
56460.0,2118.0,3745331.0
78076.0,1822.0,2947659.0
